acct_id,customer_id,acct_type,balance,date_created
1,2,Checking,2191.84,2023-02-02
2,3,Savings,1949.28,2024-03-03
3,4,Money Market,1405.45,2022-04-04
4,5,CD,1060.54,2023-05-05
5,16,CD,7722.4,2022-06-06
6,19,Money Market,2572.64,2023-07-07
7,22,Checking,7270.96,2024-08-08
8,25,Money Market,1350.67,2021-09-09
9,28,Savings,6118.48,2022-10-10
10,31,CD,1475.74,2023-11-11
11,34,Money Market,4460.02,2024-01-12
12,37,Money Market,6924.96,2021-02-13
13,40,CD,9010.78,2022-03-14
14,43,Checking,7396.75,2023-04-15
15,46,CD,4811.84,2024-05-16
16,49,Checking,1980.41,2021-06-17
17,52,CD,3491.12,2022-07-18
18,55,Savings,4833.0,2023-08-19
19,58,Savings,5749.27,2024-09-20
20,61,Savings,9723.32,2021-10-21
21,64,Money Market,9126.27,2022-11-22
22,67,Savings,9968.8,2023-01-23
23,70,Money Market,9269.03,2024-02-24
24,73,Money Market,9524.42,2021-03-25
25,76,Savings,7283.76,2022-04-26
26,79,Money Market,6380.22,2023-05-01
27,2,Money Market,9601.99,2024-06-02
28,5,CD,5112.31,2021-07-03
29,8,Money Market,5172.79,2022-08-04
30,11,Money Market,9736.37,2023-09-05
31,14,Checking,4186.56,2024-10-06
32,17,Checking,10856.04,2021-11-07
33,20,Savings,5833.03,2022-01-08
34,23,Money Market,5074.53,2023-02-09
35,26,Savings,5713.35,2024-03-10
36,29,Money Market,7659.03,2021-04-11
37,32,Checking,11080.5,2022-05-12
38,35,CD,7141.71,2023-06-13
39,38,CD,4324.82,2024-07-14
40,41,Money Market,5065.41,2021-08-15
41,44,Savings,7184.05,2022-09-16
42,47,Money Market,11590.46,2023-10-17
43,50,Checking,8413.18,2024-11-18
44,53,CD,9260.42,2021-01-19
45,56,Money Market,6770.05,2022-02-20
46,59,Checking,10491.64,2023-03-21
47,62,Money Market,12052.69,2024-04-22
48,65,Money Market,6614.74,2021-05-23
49,68,CD,12229.15,2022-06-24
50,71,CD,12829.67,2023-07-25
51,74,Checking,6187.39,2024-08-26
52,77,CD,11163.02,2021-09-01
53,80,Checking,12427.69,2022-10-02
54,3,Checking,12627.88,2023-11-03
55,6,CD,9501.07,2024-01-04
56,9,CD,7586.68,2021-02-05
57,12,Money Market,13608.57,2022-03-06
58,15,Savings,6022.68,2023-04-07
59,18,Savings,7418.34,2024-05-08
60,21,CD,9777.93,2021-06-09
61,24,Money Market,6302.51,2022-07-10
62,27,Checking,11569.87,2023-08-11
63,30,CD,9934.55,2024-09-12
64,33,Savings,7137.4,2021-10-13
65,36,Checking,11976.82,2022-11-14
66,73,CD,16049.46,2026-01-16
67,80,CD,16273.52,2024-08-09
68,87,CD,13883.24,2024-10-20
69,94,CD,17507.73,2025-03-25
70,101,Checking,8273.61,2025-12-21
71,108,CD,8723.45,2025-01-12
72,115,Savings,12827.85,2024-05-14
73,122,CD,13789.71,2024-02-20
74,129,Money Market,16197.47,2025-04-03
75,6,Savings,17027.29,2025-05-27
76,13,Checking,11033.62,2025-03-25
77,20,Checking,17177.75,2026-02-17
78,27,Money Market,10495.67,2024-03-03
79,34,Savings,16106.34,2024-06-02
80,41,CD,13443.83,2024-12-06
81,48,Money Market,11426.52,2025-12-13
82,55,Savings,11289.96,2026-04-15
83,62,Money Market,13035.64,2024-09-01
84,69,Savings,11407.01,2025-10-27
85,76,Savings,17551.88,2025-08-17
86,83,CD,15650.80,2025-01-25
87,90,Money Market,11548.08,2024-01-28
88,97,Checking,13828.33,2024-06-24
89,104,Money Market,18195.36,2025-09-24
90,111,Money Market,12591.90,2025-10-26
91,118,Checking,13461.77,2025-07-14
92,125,Savings,12212.00,2026-04-23
93,2,Checking,15410.30,2024-03-03
94,9,CD,13014.68,2025-09-04
95,16,Checking,17744.28,2024-04-05
96,23,Savings,12831.03,2025-10-17
97,30,CD,17418.56,2024-07-06
98,37,Money Market,17812.71,2024-10-10
99,44,Money Market,18609.92,2025-07-12
100,51,Checking,11854.06,2024-06-10
101,58,Checking,15232.62,2026-03-23
102,65,Checking,19423.26,2024-04-19
103,72,CD,17895.33,2026-01-09
104,79,Money Market,18335.75,2026-02-10
105,86,Checking,14054.25,2024-02-02
106,93,Savings,15970.11,2025-09-10
107,100,CD,12503.98,2024-05-10
108,107,Money Market,15532.29,2024-08-21
109,114,CD,14780.32,2024-06-17
110,121,CD,21213.03,2025-12-04
111,128,Checking,17420.24,2025-02-20
112,5,CD,18545.43,2024-12-12
113,12,Money Market,20663.86,2024-04-05
114,19,CD,20438.11,2025-12-15
115,26,Checking,13743.29,2024-07-18
116,33,Money Market,22803.37,2024-01-21
117,40,Money Market,16773.03,2024-12-26
118,47,Money Market,17483.21,2025-01-13
119,54,CD,20551.96,2025-05-18
120,61,Savings,22658.18,2026-03-03
