loan_id,customer_id,loan_amount,interest_rate,term,property_id,loan_officer_id,status,date_created
1,54,201812.48,3.3,15,2,2,rejected,2020-02-02
2,34,220050.01,3.31,20,3,3,approved,2021-03-03
3,20,219745.51,3.52,25,4,4,pending,2022-04-04
4,48,218227.88,3.51,30,5,5,pending,2023-05-05
5,53,238832.45,3.42,10,6,6,pending,2019-06-06
6,23,262922.29,3.56,15,7,7,approved,2020-07-07
7,30,274498.76,3.53,20,8,8,approved,2021-08-08
8,52,265676.67,3.7,25,9,9,rejected,2022-09-09
9,25,285859.35,3.69,30,10,10,pending,2023-10-10
10,10,295743.44,3.71,10,11,11,approved,2019-11-11
11,11,321108.91,3.73,15,12,12,approved,2020-12-12
12,5,327447.91,3.98,20,13,13,approved,2021-01-13
13,60,329577.53,3.82,25,14,14,approved,2022-02-14
14,17,355508.32,3.93,30,15,15,pending,2023-03-15
15,18,356542.47,3.36,10,16,16,approved,2019-04-16
16,31,350284.42,3.4,15,17,17,pending,2020-05-17
17,29,369619.17,3.46,20,18,18,approved,2021-06-18
18,45,365422.36,3.52,25,19,19,approved,2022-07-19
19,47,397527.67,3.43,30,20,20,approved,2023-08-20
20,57,415066.79,3.49,10,21,21,approved,2019-09-21
21,43,425655.95,3.53,15,22,22,approved,2020-10-22
22,8,438728.08,3.67,20,23,23,pending,2021-11-23
23,40,454659.34,3.8,25,24,24,approved,2022-12-24
24,26,435830.0,3.72,30,25,25,approved,2023-01-25
25,9,466250.79,3.77,10,26,26,approved,2019-02-26
26,27,462835.7,3.73,15,27,27,approved,2020-03-27
27,32,493542.67,3.97,20,28,28,pending,2021-04-28
28,41,488079.61,3.83,25,29,1,approved,2022-05-01
29,36,499819.36,3.91,30,30,2,approved,2023-06-02
30,39,511737.12,3.15,10,31,3,approved,2019-07-03
31,4,536856.76,3.38,15,32,4,approved,2020-08-04
32,3,549340.74,3.48,20,33,5,approved,2021-09-05
33,51,557771.68,3.48,25,34,6,approved,2022-10-06
34,37,579925.66,3.44,30,35,7,pending,2023-11-07
35,14,589199.32,3.45,10,36,8,approved,2019-12-08
36,7,581640.03,3.67,15,37,9,pending,2020-01-09
37,38,609522.4,3.53,20,38,10,approved,2021-02-10
38,21,605166.85,3.78,25,39,11,pending,2022-03-11
39,15,629630.32,3.7,30,40,12,approved,2023-04-12
40,50,635313.54,3.82,10,41,13,approved,2019-05-13
41,35,648994.61,3.92,15,42,14,pending,2020-06-14
42,44,653944.61,3.93,20,43,15,approved,2021-07-15
43,56,652795.01,4.01,25,44,16,approved,2022-08-16
44,1,686550.17,3.92,30,45,17,pending,2023-09-17
45,58,701458.84,3.34,10,46,18,approved,2019-10-18
46,49,683322.67,3.29,15,47,19,pending,2020-11-19
47,24,179742.59,3.39,20,48,20,rejected,2021-12-20
48,28,212009.09,3.42,25,49,21,approved,2022-01-21
49,1,694434.63,3.37,30,55,16,rejected,2024-06-22
50,83,692118.75,3.33,10,56,17,rejected,2026-02-23
51,82,685881.74,3.39,15,57,18,approved,2025-04-05
52,65,734642.60,3.50,20,58,19,pending,2024-11-24
53,35,212283.81,3.43,25,59,20,pending,2026-02-19
54,19,230701.52,3.43,30,60,21,approved,2025-05-20
55,17,241721.14,3.64,10,61,22,approved,2024-09-16
56,8,230187.64,3.52,15,62,23,approved,2025-03-23
57,61,242014.98,3.57,20,63,24,pending,2024-06-11
58,71,233279.31,3.76,25,64,25,approved,2024-09-20
59,88,261584.27,3.62,30,65,26,approved,2025-03-21
60,106,255593.15,3.85,10,66,27,approved,2025-01-20
61,81,304415.08,3.79,15,67,28,approved,2025-02-21
62,79,302141.97,3.86,20,68,29,rejected,2026-03-26
63,78,284082.88,3.88,25,69,30,rejected,2026-02-18
64,108,330479.77,3.86,30,70,31,rejected,2026-02-03
65,63,323832.30,3.99,10,71,32,approved,2025-12-23
66,54,338568.34,3.04,15,72,33,approved,2024-04-09
67,52,349253.43,3.06,20,73,34,approved,2026-02-22
68,97,374621.99,3.11,25,74,1,pending,2026-01-26
69,20,363754.24,3.25,30,75,2,pending,2026-01-08
70,72,385513.97,3.23,10,76,3,pending,2024-12-27
71,115,393830.62,3.28,15,77,4,pending,2025-11-25
72,130,368307.81,3.27,20,78,5,pending,2024-02-04
73,44,416494.46,3.33,25,79,6,approved,2026-04-17
74,55,436113.13,3.44,30,80,7,approved,2024-01-15
75,121,425398.62,3.56,10,81,8,rejected,2025-02-11
76,70,413830.24,3.54,15,82,9,pending,2026-02-27
77,89,417991.56,3.52,20,83,10,pending,2025-10-15
78,86,427117.10,3.69,25,84,11,pending,2025-01-06
79,45,466658.83,3.62,30,85,12,pending,2026-02-22
80,93,495618.66,3.68,10,86,13,approved,2026-01-02
81,59,495338.64,3.77,15,87,14,rejected,2025-07-14
82,10,516352.99,3.83,20,88,15,pending,2025-03-21
83,67,511670.63,3.79,25,89,16,rejected,2025-12-09
84,85,523248.30,3.81,30,90,17,pending,2026-01-19
85,118,545378.16,3.95,10,91,18,pending,2024-10-01
86,96,507248.47,3.97,15,92,19,approved,2024-01-23
87,119,563827.74,4.04,20,93,20,approved,2025-05-26
88,15,565998.85,3.08,25,94,21,approved,2025-12-21
