payment_id,loan_id,payment_amount,payment_date
1,2,787.18,2024-02-06
2,2,809.52,2024-03-09
3,2,823.28,2024-04-10
4,2,822.28,2024-05-12
5,2,827.55,2024-06-13
6,6,1245.68,2024-02-10
7,6,1242.03,2024-03-13
8,6,1279.6,2024-04-14
9,6,1279.74,2024-05-16
10,6,1277.46,2024-06-17
11,7,842.32,2024-02-21
12,7,854.05,2024-03-24
13,7,862.86,2024-04-25
14,7,897.88,2024-05-27
15,7,903.47,2024-06-28
16,7,899.05,2024-07-30
17,10,1141.38,2024-02-14
18,10,1136.08,2024-03-17
19,10,1169.72,2024-04-18
20,10,1176.92,2024-05-20
21,10,1161.88,2024-06-21
22,11,1056.06,2024-01-16
23,11,1026.66,2024-02-17
24,11,1042.4,2024-03-20
25,11,1059.9,2024-04-21
26,11,1087.79,2024-05-23
27,11,1074.52,2024-06-24
28,12,1387.56,2024-01-27
29,12,1427.09,2024-02-28
30,12,1431.38,2024-03-31
31,13,1062.5,2024-02-07
32,13,1060.65,2024-03-10
33,13,1087.6,2024-04-11
34,13,1087.99,2024-05-13
35,15,1338.96,2024-01-20
36,15,1330.12,2024-02-21
37,15,1371.52,2024-03-24
38,15,1361.78,2024-04-25
39,15,1400.3,2024-05-27
40,15,1369.91,2024-06-28
41,17,1438.36,2024-02-11
42,17,1487.31,2024-03-14
43,17,1478.65,2024-04-15
44,17,1506.97,2024-05-17
45,18,1318.93,2024-02-22
46,18,1348.7,2024-03-25
47,18,1357.05,2024-04-26
48,18,1360.35,2024-05-28
49,18,1368.09,2024-06-29
50,19,1780.7,2024-01-24
51,19,1803.27,2024-02-25
52,19,1848.68,2024-03-28
53,19,1832.21,2024-04-29
54,19,1864.64,2024-05-31
55,19,1836.96,2024-07-02
56,20,1719.66,2024-02-04
57,20,1767.87,2024-03-07
58,20,1766.59,2024-04-08
59,21,1511.7,2024-02-15
60,21,1514.75,2024-03-18
61,21,1549.83,2024-04-19
62,21,1541.65,2024-05-21
63,23,1628.83,2024-01-28
64,23,1663.72,2024-02-29
65,23,1708.59,2024-04-01
66,23,1715.33,2024-05-03
67,23,1739.99,2024-06-04
68,23,1702.84,2024-07-06
69,24,1852.37,2024-02-08
70,24,1875.12,2024-03-11
71,24,1863.62,2024-04-12
72,25,1853.35,2024-02-19
73,25,1905.96,2024-03-22
74,25,1911.79,2024-04-23
75,25,1884.3,2024-05-25
76,26,1644.21,2024-01-21
77,26,1674.07,2024-02-22
78,26,1666.62,2024-03-25
79,26,1719.13,2024-04-26
80,26,1715.54,2024-05-28
81,28,1888.66,2024-02-12
82,28,1902.95,2024-03-15
83,28,1894.95,2024-04-16
84,29,1971.34,2024-02-23
85,29,1982.07,2024-03-26
86,29,1999.97,2024-04-27
87,29,2021.77,2024-05-29
88,30,1923.15,2024-01-25
89,30,1929.3,2024-02-26
90,30,1935.74,2024-03-29
91,30,2007.43,2024-04-30
92,30,2026.57,2024-06-01
93,31,2207.53,2024-02-05
94,31,2222.49,2024-03-08
95,31,2273.88,2024-04-09
96,31,2281.34,2024-05-11
97,31,2284.93,2024-06-12
98,31,2336.04,2024-07-14
99,32,2232.22,2024-02-16
100,32,2257.1,2024-03-19
101,32,2265.78,2024-04-20
102,33,1939.09,2024-01-18
103,33,1919.17,2024-02-19
104,33,1962.12,2024-03-22
105,33,2009.14,2024-04-23
106,35,2206.73,2024-02-09
107,35,2264.93,2024-03-12
108,35,2270.31,2024-04-13
109,35,2266.75,2024-05-15
110,35,2333.66,2024-06-16
111,35,2350.07,2024-07-18
112,37,2347.89,2024-01-22
113,37,2325.36,2024-02-23
114,37,2385.05,2024-03-26
115,37,2369.87,2024-04-27
116,39,2093.6,2024-02-13
117,39,2097.7,2024-03-16
118,39,2100.04,2024-04-17
119,39,2121.91,2024-05-19
120,39,2198.83,2024-06-20
121,39,2219.16,2024-07-22
122,40,2482.56,2024-01-15
123,40,2496.22,2024-02-16
124,40,2505.73,2024-03-19
125,42,2177.87,2024-02-06
126,42,2205.76,2024-03-09
127,42,2220.52,2024-04-10
128,42,2223.39,2024-05-12
129,42,2226.59,2024-06-13
