property_id,address,city,state,zip_code,property_value
1,201 Maple St,Bigcity,NY,34567,199987.07
2,202 Cedar St,Suburbia,FL,56789,214343.73
3,203 Birch St,Downtown,MI,78901,219122.32
4,204 Willow St,Seaside,OR,90123,229991.25
5,205 Cherry St,Beachtown,CA,23456,245802.52
6,206 Walnut St,Rivertown,GA,30301,262903.92
7,207 Main St,Plainview,NJ,07001,283668.75
8,208 Elm St,Anytown,CA,12345,288014.81
9,209 Oak St,Bigcity,NY,34567,310141.64
10,210 Pine St,Suburbia,FL,56789,320010.85
11,211 Maple St,Downtown,MI,78901,327553.01
12,212 Cedar St,Seaside,OR,90123,345641.91
13,213 Birch St,Beachtown,CA,23456,364068.88
14,214 Willow St,Rivertown,GA,30301,380220.77
15,215 Cherry St,Plainview,NJ,07001,392888.99
16,216 Walnut St,Anytown,CA,12345,400499.03
17,217 Main St,Bigcity,NY,34567,420906.49
18,218 Elm St,Suburbia,FL,56789,420357.33
19,219 Oak St,Downtown,MI,78901,439319.48
20,220 Pine St,Seaside,OR,90123,459990.52
21,221 Maple St,Beachtown,CA,23456,469545.65
22,222 Cedar St,Rivertown,GA,30301,487491.05
23,223 Birch St,Plainview,NJ,07001,503443.21
24,224 Willow St,Anytown,CA,12345,516096.74
25,225 Cherry St,Bigcity,NY,34567,519786.3
26,226 Walnut St,Suburbia,FL,56789,540586.91
27,227 Main St,Downtown,MI,78901,552705.86
28,228 Elm St,Seaside,OR,90123,568294.23
29,229 Oak St,Beachtown,CA,23456,584233.25
30,230 Pine St,Rivertown,GA,30301,592095.24
31,231 Maple St,Plainview,NJ,07001,610720.35
32,232 Cedar St,Anytown,CA,12345,617320.06
33,233 Birch St,Bigcity,NY,34567,626388.16
34,234 Willow St,Suburbia,FL,56789,640313.39
35,235 Cherry St,Downtown,MI,78901,662943.1
36,236 Walnut St,Seaside,OR,90123,671059.25
37,237 Main St,Beachtown,CA,23456,687586.88
38,238 Elm St,Rivertown,GA,30301,181173.41
39,239 Oak St,Plainview,NJ,07001,196435.41
40,240 Pine St,Anytown,CA,12345,206184.66
41,241 Maple St,Bigcity,NY,34567,226298.25
42,242 Cedar St,Suburbia,FL,56789,243796.3
43,243 Birch St,Downtown,MI,78901,249620.61
44,244 Willow St,Seaside,OR,90123,267135.38
45,245 Cherry St,Beachtown,CA,23456,283123.89
46,246 Walnut St,Rivertown,GA,30301,289121.73
47,247 Main St,Plainview,NJ,07001,309093.2
48,248 Elm St,Anytown,CA,12345,322433.2
49,249 Oak St,Bigcity,NY,34567,326766.29
50,250 Pine St,Suburbia,FL,56789,343840.53
51,451 Main St,Plainview,NJ,07001,610603.25
52,452 Elm St,Fairview,PA,19001,619555.17
53,453 Oak St,Brookfield,WI,53045,612344.09
54,454 Pine St,Cedar Rapids,IA,52401,615410.48
55,455 Maple St,Boulder,CO,80301,626817.06
56,456 Cedar St,Nashville,TN,37201,640400.73
57,457 Birch St,Anytown,CA,12345,660166.45
58,458 Willow St,Smalltown,TX,23456,652225.50
59,459 Cherry St,Bigcity,NY,34567,674289.58
60,460 Walnut St,Ruraltown,WA,45678,675668.93
61,461 Park Ave,Suburbia,FL,56789,193121.39
62,462 River Rd,Uptown,IL,67890,208371.48
63,463 Lake Dr,Downtown,MI,78901,224192.04
64,464 Hill Ln,Countryside,OH,89012,236173.42
65,465 Main St,Seaside,OR,90123,242276.12
66,466 Elm St,Mountainside,CO,01234,239843.11
67,467 Oak St,Beachtown,CA,23456,259005.77
68,468 Pine St,Lakeside,AZ,85001,242804.12
69,469 Maple St,Rivertown,GA,30301,259527.81
70,470 Cedar St,Hilldale,NC,27501,279135.25
71,471 Birch St,Plainview,NJ,07001,279984.59
72,472 Willow St,Fairview,PA,19001,294992.52
73,473 Cherry St,Brookfield,WI,53045,306636.86
74,474 Walnut St,Cedar Rapids,IA,52401,312714.75
75,475 Park Ave,Boulder,CO,80301,303665.95
76,476 River Rd,Nashville,TN,37201,323492.04
77,477 Lake Dr,Anytown,CA,12345,328667.82
78,478 Hill Ln,Smalltown,TX,23456,339698.26
79,479 Main St,Bigcity,NY,34567,351320.43
80,480 Elm St,Ruraltown,WA,45678,349312.60
81,481 Oak St,Suburbia,FL,56789,365467.53
82,482 Pine St,Uptown,IL,67890,361329.61
83,483 Maple St,Downtown,MI,78901,361357.08
84,484 Cedar St,Countryside,OH,89012,369580.97
85,485 Birch St,Seaside,OR,90123,392493.67
86,486 Willow St,Mountainside,CO,01234,390914.73
87,487 Cherry St,Beachtown,CA,23456,403530.17
88,488 Walnut St,Lakeside,AZ,85001,411182.51
89,489 Park Ave,Rivertown,GA,30301,421662.19
90,490 River Rd,Hilldale,NC,27501,422839.12
91,491 Lake Dr,Plainview,NJ,07001,441505.86
92,492 Hill Ln,Fairview,PA,19001,455758.88
93,493 Main St,Brookfield,WI,53045,450312.46
94,494 Elm St,Cedar Rapids,IA,52401,464593.70
95,495 Oak St,Boulder,CO,80301,476299.37
