underwriting_id,loan_id,credit_score,employment_history,financial_history
1,1,620,Stable,Bad
2,2,674,Stable,Bad
3,3,677,Stable,Good
4,4,698,Varied,Fair
5,5,710,Stable,Bad
6,6,741,Varied,Bad
7,7,729,Stable,Fair
8,8,620,Varied,Good
9,9,754,Varied,Good
10,10,804,Stable,Fair
11,11,800,Varied,Good
12,12,631,Varied,Good
13,13,649,Stable,Excellent
14,14,666,Varied,Good
15,15,664,Stable,Bad
16,16,691,Stable,Fair
17,17,693,Varied,Bad
18,18,731,Varied,Good
19,19,759,Varied,Excellent
20,20,776,Varied,Excellent
21,21,797,Varied,Fair
22,22,813,Varied,Excellent
23,23,794,Stable,Excellent
24,24,626,Stable,Good
25,25,665,Varied,Fair
26,26,650,Stable,Good
27,27,695,Stable,Bad
28,28,712,Stable,Excellent
29,29,700,Stable,Excellent
30,30,746,Varied,Good
31,31,755,Varied,Excellent
32,32,785,Stable,Excellent
33,33,780,Stable,Fair
34,34,785,Varied,Fair
35,35,839,Stable,Good
36,36,653,Varied,Excellent
37,37,674,Varied,Good
38,38,674,Stable,Excellent
39,39,662,Stable,Fair
40,40,689,Varied,Fair
41,41,726,Stable,Excellent
42,42,724,Stable,Bad
43,43,763,Varied,Fair
44,44,755,Varied,Excellent
45,45,765,Stable,Good
46,46,821,Varied,Good
47,47,620,Varied,Bad
48,48,615,Stable,Excellent
49,49,595,Stable,Fair
50,50,595,Varied,Bad
51,51,675,Varied,Good
52,52,719,Stable,Fair
53,53,743,Varied,Excellent
54,54,781,Stable,Good
55,55,751,Stable,Excellent
56,56,794,Stable,Excellent
57,57,835,Stable,Excellent
58,58,609,Varied,Good
59,59,626,Stable,Excellent
60,60,628,Stable,Fair
61,61,663,Varied,Excellent
62,62,595,Stable,Fair
63,63,595,Stable,Good
64,64,595,Varied,Fair
65,65,714,Varied,Excellent
66,66,780,Varied,Excellent
67,67,794,Varied,Fair
68,68,811,Varied,Good
69,69,815,Varied,Bad
70,70,604,Stable,Good
71,71,644,Varied,Bad
72,72,623,Varied,Good
73,73,682,Stable,Excellent
74,74,677,Varied,Good
75,75,595,Varied,Bad
76,76,756,Stable,Excellent
77,77,758,Varied,Good
78,78,755,Varied,Fair
79,79,815,Varied,Fair
80,80,806,Varied,Good
81,81,595,Varied,Good
82,82,616,Varied,Fair
83,83,595,Varied,Fair
84,84,678,Varied,Excellent
85,85,698,Stable,Good
86,86,723,Varied,Fair
87,87,700,Stable,Good
88,88,731,Varied,Fair
